ticker,official_name,name,description,sector,industry,website
MGNT,Магнит ао,Unknown,Unknown,Розничная торговля,Продуктовая розница,http://www.magnit.com/en/
MTLR,Мечел ао,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.mechel.ru/
MVID,М.видео,Unknown,Unknown,Дистрибуция,Оптовая торговля,http://www.mvideo.ru/
NVTK,Новатэк ао,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.novatek.ru/
OZON,OZON-адр,Unknown,Unknown,Розничная торговля,Розничные интернет-магазины,http://corp.ozon.com/
PHOR,ФосАгро ао,Unknown,Unknown,Обрабатывающая промышленность,Химическая промышленность: сельскохозяйственные химикаты,http://www.phosagro.ru/
PIKK,ПИК ао,Unknown,Unknown,Потребительские товары длительного пользования,Строительство жилья,http://www.pik-group.com/
PLZL,Полюс,Unknown,Unknown,Несырьевые полезные ископаемые,Драгоценные металлы,http://polyus.com/
POSI,iПозитив,Unknown,Unknown,Финансы,Финансовые конгломераты,http://group.ptsecurity.com/ru
PRMD,ПРОМОМЕД,Unknown,Unknown,Unknown,Unknown,Unknown
RAGR,Русагро,Unknown,Unknown,Unknown,Unknown,Unknown
RNFT,РуссНфт ао,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.russneft.ru/
ROSN,Роснефть,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.rosneft.ru/
SFIN,ЭсЭфАй ао,Unknown,Unknown,Финансы,"Финансирование, лизинг, аренда",http://www.safmarinvest.ru/
SIBN,Газпрнефть,Unknown,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.gazprom-neft.com/
SMLT,Самолет ао,Unknown,Unknown,Финансы,Девелопмент недвижимости,http://www.samoletgroup.ru/
SPBE,СПБ Биржа,Unknown,Unknown,Финансы,"Инвестиционные банки, брокеры",http://www.spbexchange.ru/
T,Т-Техно ао,Unknown,Unknown,Финансы,Региональные банки,http://www.tcsgh.com.cy/
TATN,Татнфт 3ао,Unknown,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.tatneft.ru/
TATNP,Татнфт 3ап,Unknown,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.tatneft.ru/
TRNFP,Транснф ап,Unknown,Unknown,Производственно-технические услуги,Нефте- и газопроводы,http://en.transneft.ru/
VKCO,"МКПАО ""ВК""",Unknown,Unknown,Технологии,Интернет-сервисы и ПО,http://vk.company/
VSEH,ВИ.ру,Unknown,Unknown,Unknown,Unknown,Unknown
VTBR,ВТБ ао,Unknown,Unknown,Финансы,Основные банки,http://www.vtb.ru/
WUSH,iВУШХолднг,Unknown,Unknown,Unknown,Unknown,Unknown
X5,КЦ ИКС 5,Unknown,Unknown,Unknown,Unknown,Unknown
YDEX,ЯНДЕКС,Unknown,Unknown,Unknown,Unknown,Unknown
AGRO,AGRO-гдр,Unknown,Unknown,Обрабатывающая промышленность,Сельскохозяйственные продукты и помол зерна,http://www.rusagrogroup.ru/
AKRN,Акрон,Unknown,Unknown,Обрабатывающая промышленность,Химическая промышленность: сельскохозяйственные химикаты,http://www.acron.ru/
AQUA,ИНАРКТИКА,Unknown,Unknown,Обрабатывающая промышленность,Сельскохозяйственные продукты и помол зерна,http://www.russaquaculture.ru/
AVAN,Авангрд-ао,Unknown,Unknown,Финансы,Региональные банки,http://www.avangard.ru/
BANEP,Башнефт ап,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.bashneft.ru/
BRZL,БурЗолото,Unknown,Unknown,Несырьевые полезные ископаемые,Драгоценные металлы,http://www.buryatzoloto.ru/
CHKZ,ЧКПЗ ао,Unknown,Unknown,Промышленное производство,Производство оригинальных автомобильных запчастей,http://www.chkpz.ru/
CHMK,ЧМК ао,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.mechel.ru/sector/steel/cmk/
CIAN,CIAN-адр,Unknown,Unknown,Технологии,Интернет-сервисы и ПО,http://www.cian.ru/
DELI,iКаршеринг,Unknown,Unknown,Unknown,Unknown,Unknown
DZRD,ДонскЗР,Unknown,Unknown,Потребительские товары длительного пользования,Товары для дома,http://www.alund.ru/
DZRDP,ДонскЗР п,Unknown,Unknown,Потребительские товары длительного пользования,Товары для дома,http://www.alund.ru/
ENPG,ЭН+ГРУП ао,Unknown,Unknown,Несырьевые полезные ископаемые,Алюминий,http://www.enplusgroup.com/
ETLN,ETLN-гдр,Unknown,Unknown,Потребительские товары длительного пользования,Строительство жилья,http://www.etalongroup.com/
EUTR,ЕвроТранс,Unknown,Unknown,Unknown,Unknown,Unknown
FIXP,FIXP-гдр,Unknown,Unknown,Розничная торговля,Универмаги,http://ir.fix-price.com/
GCHE,ЧеркизГ-ао,Unknown,Unknown,Обрабатывающая промышленность,Сельскохозяйственные продукты и помол зерна,http://cherkizovo.com/en/
GEMC,МКПАО ЮМГ,Unknown,Unknown,Здравоохранение,Услуги по уходу за больными,http://www.umg.com.cy/
HEAD,Хэдхантер,Unknown,Unknown,Unknown,Unknown,Unknown
HNFG,ХЭНДЕРСОН,Unknown,Unknown,Unknown,Unknown,Unknown
IGST,Ижсталь2ао,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.izhstal.ru/
IGSTP,Ижсталь ап,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.izhstal.ru/
INGR,ИНГРАД ао,Unknown,Unknown,Финансы,Девелопмент недвижимости,http://www.opin.ru/
KMEZ,КМЗ,Unknown,Unknown,Промышленное производство,Промышленное оборудование,http://www.kvmz.ru/
KOGK,КоршГОК ао,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.mechel.ru/sector/mining/korshunovskij_gok
KRKN,СаратНПЗ,Unknown,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,Unknown
KRKNP,СаратНПЗ-п,Unknown,Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,Unknown
LENT,Лента ао,Unknown,Unknown,Розничная торговля,Продуктовая розница,http://www.lentainvestor.com/
LNZL,Лензолото,Unknown,Unknown,Несырьевые полезные ископаемые,Драгоценные металлы,http://www.len-zoloto.ru/
LNZLP,Лензол. ап,Unknown,Unknown,Несырьевые полезные ископаемые,Драгоценные металлы,http://www.len-zoloto.ru/
LSRG,ЛСР ао,Unknown,Unknown,Финансы,Девелопмент недвижимости,http://www.lsrgroup.ru/
MDMG,MDMG-ао,Unknown,Unknown,Unknown,Unknown,Unknown
MGNZ,СМЗ-ао,Unknown,Unknown,Несырьевые полезные ископаемые,Прочие металлы и минералы,http://www.smw.ru/
MGTS,МГТС-5ао,Unknown,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.mgts.ru/
MGTSP,МГТС-4ап,Unknown,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.mgts.ru/
NNSB,ТНСэнНН ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.nn.tns-e.ru/
NNSBP,ТНСэнНН ап,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.nn.tns-e.ru/
OMZZP,ОМЗ-ап,Unknown,Unknown,Производственно-технические услуги,Нефтепромысловое оборудование и услуги,http://www.omz.ru/
PAZA,ПавлАвт ао,Unknown,Unknown,Потребительские товары длительного пользования,Автомобильная промышленность,http://www.paz-bus.ru/
PRMB,Приморье,Unknown,Unknown,Финансы,Региональные банки,http://www.primbank.ru/
QIWI,iNanduQPLC,Unknown,Unknown,Технологии,Услуги обработки информации,http://www.qiwi.com/
RKKE,ЭнергияРКК,Unknown,Unknown,Электронные технологии,Авиакосмическая и оборонная промышленность,http://www.energia.ru/
RTGZ,ГР Ростов,Unknown,Unknown,Коммунальные услуги,Газоснабжение,http://www.rostovoblgaz.ru/
SVAV,СОЛЛЕРС,Unknown,Unknown,Потребительские товары длительного пользования,Автомобильная промышленность,http://www.sollers-auto.com/
SVET,Светофор,Unknown,Unknown,Коммерческие услуги,Прочие коммерческие услуги,http://www.svetoforgroup.ru/
SVETP,Светофор п,Unknown,Unknown,Unknown,Unknown,Unknown
